0|None	|Noone|A01|24, Dcfarloflk Anbfvkwsj Qjujz|67272|778 848 5629|1518205449802640|21659
1|Russ	|Nygard|A01|24, Dcfarloflk Anbfvkwsj Qjujz|67272|778 848 5629|1518205449802640|21659
2|Ronald	|Launiuvao|B16|04, Ryqslr Ymafkwhwq Itsvdaljf|07473|318 701 2373|3724714788224000|48980
3|Nestorova|Viktoriya|B17|27, Ekawufesyge Kgctwsaruy Ksj|18872|067 770 5937|2844662597150733|60439
4|Dan|Miroslava|C2E|90, Tfmmmppnhxn Ipzffcaqmj Ocf|67266|765 593 5409|5412576724996831|51635
5|Dan	|Stirrat-Dilley|B1M|15, Manezpyvb Gpetdxwvis Gsriu|70108|824 535 4565|9928991620520744|58481
6|Boris|Mammadov|C0U|68, Vktszqt Rdkmzh Ghptgtivdp |42802|392 731 8743|1083708278014278|16233
7|Batchvarov|Vukovic|N0A|34, Ltzsa Owakwjp Mvdsxapnm Wz|79725|229 267 0646|9486719852150345|50079
8|Stephen	|Sears|W11|69, Hyxjikyqwib Oladv Tgmgecai|56052|018 534 8647|9933832247942063|70366
9|Eleanor	|Trent|C1K|78, Dcxinzbctqu Yyxknzlq Jycqe|66399|683 404 3549|1054258691036594|89090
10|Ronalie	|Murry|F0N|95, Noorlwchy Rzkfavbudrh Sena|88909|445 082 7694|2973422394279611|46996
11|Kaneva|Bratanov|P11|22, Vfjtlwjay Chhjrnr Emmykfai|74068|559 097 6285|3598596023447436|62772
12|Matthew A.|Li|C2H|97, Jenreqbvt Pjyfa Nnzjpkpday|18006|400 204 8699|7644092872846320|99339
13|Seth	|Young|A1B|67, Rcnqy Mtvrsgngf Csaalt Fpi|70683|032 803 9994|2370594048336917|4508
14|Kenneth	|Son|P05|82, Xxrqdddmku Drzbkqm Wcwwqmc|25064|546 099 4858|6960776161552922|93286
15|Matthew	|Wray|R04|29, Uphokjwzs Eayakbkf Asxnhdo|18756|560 061 4251|8516826121855194|23935
16|Ron	|Smith|C10|82, Ghxumcdkpw Jbrjgxrhr Yiwqp|94602|061 940 7303|6306808381974255|44817
17|Krastanov|Stoimenov|V04|64, Gpnzramz Osrztliap Yullexc|20832|778 379 9168|994778405905726 |58902
18|Craig	|Chin|G0U|97, Hnjblfacswv Yjpqw Vnnbyzdb|21464|236 862 0757|1122064546412933|35327
